,feature_set,case,num_zero
206,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, -1, 1, 1)",0.0
207,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, -1, -1)",0.0
208,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, -1, 0)",0.0
209,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, -1, 1)",0.0
210,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, 0, -1)",0.0
211,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, 0, 0)",0.0
212,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, 0, 1)",0.0
213,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, 1, -1)",0.0
214,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, 1, 0)",0.0
215,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 0, 1, 1)",0.0
216,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, -1, -1)",0.0
217,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, -1, 0)",0.0
218,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, -1, 1)",0.0
219,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, 0, -1)",0.0
220,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, 0, 0)",0.0
221,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, 0, 1)",0.0
222,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, 1, -1)",0.0
223,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, 1, 0)",0.0
224,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, 1, 1, 1, 1)",0.0
225,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, -1, -1)",0.0
226,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, -1, 0)",0.0
227,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, -1, 1)",0.0
228,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, 0, -1)",0.0
229,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, 0, 0)",0.0
230,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, 0, 1)",0.0
231,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, 1, -1)",0.0
232,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, 1, 0)",0.0
233,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, -1, 1, 1)",0.0
234,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, -1, -1)",0.0
235,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, -1, 0)",0.0
236,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, -1, 1)",0.0
237,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, 0, -1)",0.0
238,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, 0, 0)",0.0
239,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, 0, 1)",0.0
240,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, 1, -1)",0.0
241,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, 1, 0)",0.0
242,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 0, 1, 1)",0.0
243,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, -1, -1)",0.0
244,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, -1, 0)",0.0
245,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, -1, 1)",0.0
246,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, 0, -1)",0.0
247,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, 0, 0)",0.0
248,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, 0, 1)",0.0
249,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, 1, -1)",0.0
250,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, 1, 0)",0.0
251,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, -1, 1, 1, 1)",0.0
252,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, -1, -1)",0.0
253,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, -1, 0)",0.0
254,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, -1, 1)",0.0
255,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, 0, -1)",0.0
256,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, 0, 0)",-10.0
257,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, 0, 1)",-10.0
