TF,Gene,Input
Rv0047c,Rv0176,1
Rv0047c,Rv0177,1
Rv0047c,Rv0178,1
Rv0047c,Rv0198c,1
Rv0047c,Rv0204c,1
Rv0047c,Rv0205,1
Rv0047c,Rv0229c,1
Rv0047c,Rv0230c,1
Rv0047c,Rv0239,1
Rv0047c,Rv0240,1
Rv0047c,Rv0244c,1
Rv0047c,Rv0245,1
Rv0047c,Rv0247c,1
Rv0047c,Rv0248c,1
Rv0047c,Rv0249c,1
Rv0047c,Rv0262c,1
Rv0047c,Rv0263c,1
Rv0047c,Rv0264c,1
Rv0047c,Rv0268c,1
Rv0047c,Rv0282,1
Rv0047c,Rv0283,1
Rv0047c,Rv0284,1
Rv0047c,Rv0285,1
Rv0047c,Rv0286,1
Rv0047c,Rv0300,1
Rv0047c,Rv0301,1
Rv0047c,Rv0306,1
Rv0047c,Rv0327c,1
Rv0047c,Rv0344c,1
Rv0047c,Rv0345,1
Rv0047c,Rv0456A,1
Rv0047c,Rv0457c,1
Rv0047c,Rv0460,1
Rv0047c,Rv0461,1
Rv0047c,Rv0464c,1
Rv0047c,Rv0465c,1
Rv0047c,Rv0470A,1
Rv0047c,Rv0470c,1
Rv0047c,Rv0475,1
Rv0047c,Rv0492c,1
Rv0047c,Rv0493c,1
Rv0047c,Rv0496,1
Rv0047c,Rv0497,1
Rv0047c,Rv0498,1
Rv0047c,Rv0499,1
Rv0047c,Rv0500,1
Rv0047c,Rv0503c,1
Rv0047c,Rv0504c,1
Rv0047c,Rv0505c,1
Rv0047c,Rv0506,1
Rv0047c,Rv0507,1
Rv0047c,Rv0508,1
Rv0047c,Rv0523c,1
Rv0047c,Rv0524,1
Rv0047c,Rv0525,1
Rv0047c,Rv0526,1
Rv0047c,Rv0527,1
Rv0047c,Rv0528,1
Rv0047c,Rv0529,1
Rv0047c,Rv0572c,1
Rv0047c,Rv0610c,1
Rv0047c,Rv0611c,1
Rv0047c,Rv0645c,1
Rv0047c,Rv0657c,1
Rv0047c,Rv0682,1
Rv0047c,Rv0683,1
Rv0047c,Rv0685,1
Rv0047c,Rv0686,1
Rv0047c,Rv0718,1
Rv0047c,Rv0719,1
Rv0047c,Rv0720,1
Rv0047c,Rv0721,1
Rv0047c,Rv0722,1
Rv0047c,Rv0723,1
Rv0047c,Rv0724,1
Rv0047c,Rv0770,1
Rv0047c,Rv0771,1
Rv0047c,Rv0772,1
Rv0047c,Rv0780,1
Rv0047c,Rv0781,1
Rv0047c,Rv0782,1
Rv0047c,Rv0800,1
Rv0047c,Rv0801,1
Rv0047c,Rv0824c,1
Rv0047c,Rv0834c,1
Rv0047c,Rv0835,1
Rv0047c,Rv0947c,1
Rv0047c,Rv0948c,1
Rv0047c,Rv0961,1
Rv0047c,Rv0986,1
Rv0047c,Rv0987,1
Rv0047c,Rv0988,1
Rv0047c,Rv1044,1
Rv0047c,Rv1045,1
Rv0047c,Rv1077,1
Rv0047c,Rv1081c,1
Rv0047c,Rv1082,1
Rv0047c,Rv1083,1
Rv0047c,Rv1084,1
Rv0047c,Rv1106c,1
Rv0047c,Rv1107c,1
Rv0047c,Rv1108c,1
Rv0047c,Rv1109c,1
Rv0047c,Rv1113,1
Rv0047c,Rv1114,1
Rv0047c,Rv1161,1
Rv0047c,Rv1162,1
Rv0047c,Rv1163,1
