index,siglvl,prior_prob,num_sample,num_pos,instance_str,__col_key__,index
Rv0115[0]+Rv2126c[-1]+Rvnt15[0],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv2126c[-1]+Rvnt15[0]
Rv0115[0]+Rv2208[-1]+Rv3084[-1],4.586471423995153e-05,0.24,7,7,,1,Rv0115[0]+Rv2208[-1]+Rv3084[-1]
Rv0115[0]+Rv2386c[-1],3.6958591609348446e-07,0.24,13,12,,1,Rv0115[0]+Rv2386c[-1]
Rv0115[0]+Rv2490c[-1]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv2490c[-1]+Rvnt37[-1]
Rv0115[0]+Rv2546[-1]+Rv3367[-1],4.586471423995153e-05,0.24,7,7,,1,Rv0115[0]+Rv2546[-1]+Rv3367[-1]
Rv0115[0]+Rv2636[-1]+Rv2802c[-1],0.0002898649939967468,0.24,8,7,,1,Rv0115[0]+Rv2636[-1]+Rv2802c[-1]
Rv0115[0]+Rv2636[-1]+Rv3072c[-1]+Rv3442c[0],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv2636[-1]+Rv3072c[-1]+Rv3442c[0]
Rv0115[0]+Rv2639c[-1]+Rv3344c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv2639c[-1]+Rv3344c[-1]
Rv0115[0]+Rv2755c[-1]+Rv3342[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv2755c[-1]+Rv3342[-1]
Rv0115[0]+Rv3018c[-1]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv3018c[-1]+Rvnt37[-1]
Rv0115[0]+Rv3087[-1]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv3087[-1]+Rvnt37[-1]
Rv0115[0]+Rv3107c[-1],0.00023806845943141752,0.24,14,10,,1,Rv0115[0]+Rv3107c[-1]
Rv0115[0]+Rv3343c[-1],0.0001911029760000016,0.24,6,6,,1,Rv0115[0]+Rv3343c[-1]
Rv0115[0]+Rv3344c[-1],2.0711771115400346e-05,0.24,10,9,,1,Rv0115[0]+Rv3344c[-1]
Rv0115[0]+Rv3344c[-1]+Rv3595c[0],0.0002898649939967468,0.24,8,7,,1,Rv0115[0]+Rv3344c[-1]+Rv3595c[0]
Rv0115[0]+Rv3417c[1]+Rv3552[0]+Rvnt04[0],0.000886664581110308,0.24,11,8,,1,Rv0115[0]+Rv3417c[1]+Rv3552[0]+Rvnt04[0]
Rv0115[0]+Rv3467[-1]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv3467[-1]+Rvnt37[-1]
Rv0115[0]+Rv3515c[-1]+Rv3566A[0],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv3515c[-1]+Rv3566A[0]
Rv0115[0]+Rv3698[-1]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv3698[-1]+Rvnt37[-1]
Rv0115[0]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rvnt37[-1]
Rv0117[-1]+Rv0962c[-1]+Rv1519[-1]+Rv3260c[1],0.0007962623999999696,0.24,5,5,,1,Rv0117[-1]+Rv0962c[-1]+Rv1519[-1]+Rv3260c[1]
Rv0117[-1]+Rv1135c[-1]+Rv1200[0],0.0007962623999999696,0.24,5,5,,1,Rv0117[-1]+Rv1135c[-1]+Rv1200[0]
Rv0117[-1]+Rv2247[0]+Rv3350c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0117[-1]+Rv2247[0]+Rv3350c[-1]
Rv0118c[-1]+Rv0119[-1]+Rv2261c[0],0.0001911029760000016,0.24,6,6,,1,Rv0118c[-1]+Rv0119[-1]+Rv2261c[0]
Rv0118c[-1]+Rv0160c[-1]+Rv0859[0]+Rv2088[0],0.000886664581110308,0.24,11,8,,1,Rv0118c[-1]+Rv0160c[-1]+Rv0859[0]+Rv2088[0]
Rv0118c[-1]+Rv0299[0]+Rv0570[-1]+Rv1837c[0],0.0007962623999999696,0.24,5,5,,1,Rv0118c[-1]+Rv0299[0]+Rv0570[-1]+Rv1837c[0]
Rv0118c[-1]+Rv0327c[-1]+Rv2932[0],0.0001911029760000016,0.24,6,6,,1,Rv0118c[-1]+Rv0327c[-1]+Rv2932[0]
Rv0118c[-1]+Rv0350[0]+Rv1200[0]+Rv1356c[0],0.0007962623999999696,0.24,5,5,,1,Rv0118c[-1]+Rv0350[0]+Rv1200[0]+Rv1356c[0]
Rv0118c[-1]+Rv0396[-1]+Rv2244[0],0.0001911029760000016,0.24,6,6,,1,Rv0118c[-1]+Rv0396[-1]+Rv2244[0]
Rv0118c[-1]+Rv0669c[0],8.682631446599309e-05,0.24,13,10,,1,Rv0118c[-1]+Rv0669c[0]
