GENE_ID,Start,End,Strand,Length
Rv0297,361334,363109,+,1775
Rv0298,363252,363479,+,227
Rv0299,363476,363778,+,302
Rv0300,363826,364047,+,221
Rv0301,364044,364469,+,425
Rv0302,364605,365237,+,632
Rv0303,365234,366142,+,908
Rv0304c,366150,372764,-,6614
Rv0305c,372820,375711,-,2891
Rv0306,375914,376585,+,671
Rv0307c,376573,377055,-,482
Rv0308,377113,377829,+,716
Rv0309,377931,378587,+,656
Rv0310c,378657,379148,-,491
Rv0311,379172,380401,+,1229
Rv0312,380556,382418,+,1862
Rv0313,382490,382876,+,386
Rv0314c,382879,383541,-,662
Rv0315,383602,384486,+,884
Rv0316,384535,385149,+,614
Rv0317c,385173,385943,-,770
Rv0318c,386305,387099,-,794
Rv0319,387148,387816,+,668
Rv0320,387888,388550,+,662
Rv0321,388582,389154,+,572
Rv0322,389260,390591,+,1331
Rv0323c,390580,391251,-,671
Rv0324,391352,392032,+,680
Rv0325,392039,392263,+,224
Rv0326,392273,392728,+,455
Rv0327c,392696,394045,-,1349
Rv0328,394111,394713,+,602
Rv0329c,394694,395320,-,626
Rv0330c,395347,396087,-,740
Rv0331,396201,397367,+,1166
Rv0332,397442,398227,+,785
Rv0333,398254,398628,+,374
Rv0334,398658,399524,+,866
Rv0335c,399535,400050,-,515
Rv0336,400192,401703,+,1511
Rv0337c,401873,403162,-,1289
Rv0338c,403193,405841,-,2648
Rv0339c,405950,408448,-,2498
Rv0340,408634,409173,+,539
Rv0341,409362,410801,+,1439
Rv0342,410838,412760,+,1922
Rv0343,412757,414238,+,1481
Rv0344c,414381,414941,-,560
Rv0345,415050,415460,+,410
Rv0346c,415502,416965,-,1463
Rv0347,417304,418290,+,986
Rv0348,418293,418946,+,653
Rv0349,418949,419608,+,659
